"ID","RA_ICRS","DE_ICRS","plx","pmRA","pmDE","UCC_ID","N_50","r_50","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","C1","C2","C3"
"Dutra-Bica 58",266.268,-28.848,"nan","nan","nan","UCC G000.0+00.1",77,8.6,266.274,-28.858,0.429,-0.112,-0.43,-11.754,1,0.87,0.6,"AB"
"ESO 456 05;AL 2;Andrews-Lindsay 2;MWSC 2734",268.2709,-29.88878,"nan","nan","nan","UCC G000.0-01.8",37,6.0,268.23,-29.875,0.362,-0.282,-1.936,23.022,3,0.93,1.0,"AA"
"VVV 151;VVV-CL 151",267.82153,-29.65676,"nan","nan","nan","UCC G000.0-01.4",0,3.1,267.841,-29.652,0.174,-1.905,-4.303,"nan",0,0.31,0.68,"CB"
"DB 1;Dutra-Bica 1",266.70606,-29.06133,"nan","nan","nan","UCC G000.0-00.2",0,1.8,266.714,-29.057,0.398,-1.338,-2.951,24.157,4,0.63,0.28,"BC"
"FSR 0001;MWSC 2622",263.09679,-27.06227,"nan","nan","nan","UCC G000.0+03.4",34,7.6,263.061,-27.122,0.052,-4.299,-2.589,-52.549,3,0.09,0.51,"DB"
"FSR 0002;MWSC 2623",263.13512,-27.06842,"nan","nan","nan","UCC G000.0+03.4a",0,6.9,263.163,-27.111,0.048,-4.502,-6.769,-0.852,2,0.43,0.54,"CB"
"Ryu 152",264.37026,-27.76323,"nan","nan","nan","UCC G000.0+02.1",18,2.1,264.363,-27.762,0.0,-3.387,-5.077,-79.792,2,0.19,0.37,"DC"
"Ryu 537",261.73039,-26.18957,"nan","nan","nan","UCC G000.0+04.9",0,1.1,261.734,-26.191,0.103,-3.198,-4.489,70.147,2,0.42,0.27,"CC"
"Ryu 153",266.51323,-28.87683,"nan","nan","nan","UCC G000.1+00.0",55,3.3,266.544,-28.87,0.472,-0.795,-2.231,13.288,3,0.33,0.36,"CC"
"DB 2;Dutra-Bica 2",266.99821,-29.12234,"nan","nan","nan","UCC G000.1-00.5",25,4.5,266.987,-29.122,0.386,-0.228,-0.698,6.343,2,0.2,0.45,"DC"
